,T2M_MEAN,T2M_MAX,T2M_MIN,PREC,WS2M,RH2M,SW_DWN,TEMP_RANGE,HEAT_INDEX,LABEL
2020-01-01,25.1,30.77,19.7,6.4,2.0,73.25,7.536,11.07,18.38575,1
2020-01-02,22.44,25.61,20.06,14.32,1.98,86.01,3.5537,5.550000000000001,19.300644000000002,1
2020-01-03,20.66,23.26,18.56,8.59,3.88,87.41,4.8007,4.700000000000003,18.058906,1
2020-01-04,21.06,25.91,18.08,6.6,3.26,85.86,3.9082,7.830000000000002,18.082116,1
2020-01-05,21.82,27.33,16.54,12.55,1.37,82.64,3.6098,10.79,18.032048,1
2020-01-06,23.78,28.92,18.98,4.79,2.42,78.32,6.9941,9.940000000000001,18.624495999999997,0
2020-01-07,24.75,30.88,18.62,11.26,2.55,76.32,7.673,12.259999999999998,18.889199999999995,1
2020-01-08,23.78,27.06,21.03,30.32,2.63,88.58,5.0093,6.029999999999998,21.064324000000003,1
2020-01-09,24.03,27.68,21.27,11.39,1.8,87.93,4.728,6.41,21.129579000000003,1
2020-01-10,24.48,29.31,20.54,0.86,1.35,84.57,5.7326,8.77,20.702735999999998,0
2020-01-11,24.49,27.47,21.59,0.67,2.1,85.17,6.2638,5.879999999999999,20.858133,0
2020-01-12,23.28,26.54,20.18,21.56,2.08,88.53,3.0713,6.359999999999999,20.609784,1
2020-01-13,21.56,26.54,18.5,8.5,3.72,86.94,3.6382,8.04,18.744263999999998,1
2020-01-14,21.29,27.11,17.46,0.17,2.92,82.6,5.1185,9.649999999999999,17.585539999999998,0
2020-01-15,23.85,29.89,18.36,0.02,1.6,79.8,6.9492,11.530000000000001,19.0323,0
2020-01-16,25.16,30.52,20.66,22.19,2.55,79.81,6.0806,9.86,20.080196,1
2020-01-17,20.14,24.25,16.68,5.89,4.22,85.31,2.879,7.57,17.181434,1
2020-01-18,20.04,25.38,16.38,0.28,3.8,83.47,4.3159,9.0,16.727387999999998,1
2020-01-19,21.08,26.95,17.39,0.25,2.95,84.23,3.9605,9.559999999999999,17.755684,0
2020-01-20,21.37,27.96,17.58,0.15,3.21,82.75,4.3644,10.380000000000003,17.683675,0
2020-01-21,21.13,27.77,16.54,0.05,2.94,78.68,6.9799,11.23,16.625084,0
2020-01-22,20.06,25.08,16.93,0.65,3.15,83.04,4.0433,8.149999999999999,16.657823999999998,0
2020-01-23,19.5,22.7,17.48,5.35,2.87,89.29,2.0162,5.219999999999999,17.411550000000002,0
2020-01-24,20.88,26.03,17.37,1.8,3.27,82.38,3.87,8.66,17.200944,0
2020-01-25,20.37,27.13,15.3,0.39,2.0,78.89,6.9211,11.829999999999998,16.069893,0
2020-01-26,20.46,28.7,13.84,0.0,1.72,65.05,8.6554,14.86,13.30923,0
2020-01-27,22.34,31.29,13.13,0.0,1.53,65.23,8.5171,18.159999999999997,14.572382,1
2020-01-28,23.63,31.84,16.57,3.96,1.59,69.2,6.6646,15.27,16.351960000000002,1
2020-01-29,25.02,31.27,18.57,3.27,1.67,75.72,7.0918,12.7,18.945144,1
2020-01-30,24.54,29.21,21.49,6.21,4.16,81.57,5.4233,7.720000000000002,20.017277999999997,1
2020-01-31,23.68,27.82,20.94,5.61,3.87,84.23,5.1382,6.879999999999999,19.945664,1
2020-02-01,23.36,27.17,20.88,13.44,2.22,86.51,3.4171,6.290000000000003,20.208736000000002,1
